variant,tableau_hex,final_hex,approve,note,has_conflict
AY.1,#A13703,#B39DDB,no,Alias of B.1.617.2.1,0
AY.100,#E15759,#B39DDB,no,Alias of B.1.617.2.100,2
AY.103,#253494,#B39DDB,no,Alias of B.1.617.2.103,2
AY.113,#BAB0AC,#B39DDB,no,Alias of B.1.617.2.113,2
AY.117,#FFBE7D,#B39DDB,no,Alias of B.1.617.2.117,2
AY.118,#D7B5A6,#B39DDB,no,Alias of B.1.617.2.118,2
AY.119,#BAB0AC,#B39DDB,no,Alias of B.1.617.2.119,2
AY.122,#499894,#B39DDB,no,Alias of B.1.617.2.122,2
AY.2,#C14F22,#B39DDB,no,Alias of B.1.617.2.2,0
AY.20,#FF9D9A,#B39DDB,no,Alias of B.1.617.2.20,2
AY.25,#C7E9B4,#B39DDB,no,Alias of B.1.617.2.25,2
AY.26,#F1CE63,#B39DDB,no,Alias of B.1.617.2.26,2
AY.3,#86BCB6,#B39DDB,no,Alias of B.1.617.2.3,2
AY.3.1,#FFBE7D,#B39DDB,no,Alias of B.1.617.2.3.1,2
AY.39,#B07AA1,#B39DDB,no,Alias of B.1.617.2.39,2
AY.4,#59A14F,#B39DDB,no,Alias of B.1.617.2.4,0
AY.43,#B07AA1,#B39DDB,no,Alias of B.1.617.2.43,0
AY.44,#A0CBE8,#B39DDB,no,Alias of B.1.617.2.44,2
AY.47,#D4A6C8,#B39DDB,no,Alias of B.1.617.2.47,2
AY.75,#F1CE63,#B39DDB,no,Alias of B.1.617.2.75,2
B,#76B7B2,#B39DDB,no,"Tracked as ""Other""",0
KS.1,#B771BC,#B39DDB,no,"Alias of B.1.1.529.2.86.1.1.13.1.1, under JN.1.13.1",0
NA,#A0CBE8,#B39DDB,no,"",0
PQ.17,#BF2490,#BF2490,yes,"",0
VBM,#B39DDB,"",no,"",0
VOI,#76B7B2,"",no,"",0
XBB.1.42.1,#75D1A3,#75D1A3,yes,"",0
XBB.1.5.77,#254220,#254220,yes,"",0
XFG.1,#5A667F,#5A667F,yes,"",0
XFG.1.1,#B6B600,#B6B600,yes,"",0
XFG.14.1,#6C9BBA,#6C9BBA,yes,"",0
XFG.2.5.1,#FFAA00,#FFAA00,yes,"",0
XFG.6,#5555FF,#5555FF,yes,"",0
XFV,#DD6731,#DD6731,yes,"",0
XFY,#8855E1,#8855E1,yes,"",0
XFZ,#9D3B2E,#9D3B2E,yes,"",0
