variant,hex_code,source
Ancestral,#333333,running_list
B.1.1.529,#FFBE7D,running_list
B.1.1.7,#8DD3C7,running_list
B.1.351,#FFFFB3,running_list
B.1.427,#BEBADA,running_list
B.1.429,#BEBADA,running_list
B.1.525,#FB8072,running_list
B.1.526,#B3DE69,running_list
B.1.617.1,#FCCDE5,running_list
B.1.617.2,#B39DDB,running_list
B.1.621,#BC80BD,running_list
B.1.621.1,#BC80BD,running_list
BA.1,#E96127,running_list
BA.1.1,#FF824C,running_list
BA.1.1.529,#E26028,running_list
BA.2,#9CCD67,running_list
BA.2.12.1,#7CB342,running_list
BA.2.75,#D4E157,running_list
BA.2.75.2,#C0CA33,running_list
BA.2.86,#D770EE,running_list
BA.3,#E26028,running_list
BA.3.2,#CF3D20,tableau_approved
BA.4,#FFD54F,running_list
BA.4.6,#FFB300,running_list
BA.5,#80CBC4,running_list
BA.5.2.6,#009688,running_list
BF.11,#29B6F6,running_list
BF.7,#81D4FA,running_list
BN.1,#9E9D24,running_list
BQ.1,#006064,running_list
BQ.1.1,#00838F,running_list
CH.1.1,#827717,running_list
EG.5,#FFBE7D,running_list
EG.5.1.8,#E14D6F,running_list
EG.6.1,#B9ABA8,running_list
EU.1.1,#F25353,running_list
FD.1.1,#E7CB40,running_list
FD.2,#8C9EFF,running_list
FE.1.1,#499894,running_list
FL.1.5.1,#8CD17D,running_list
GE.1,#FABFD2,running_list
GK.1.1,#90FAE5,running_list
GK.2,#9D8577,running_list
HF.1,#D399AD,running_list
HK.3,#859DBC,running_list
HV.1,#797765,running_list
JD.1.1,#80F192,running_list
JF.1,#FFF1A9,running_list
JG.3,#66A172,running_list
JN.1,#61018F,running_list
JN.1.11.1,#5C9CF1,running_list
JN.1.13,#E83C78,running_list
JN.1.13.1,#F2591C,running_list
JN.1.16,#BC3A88,running_list
JN.1.16.1,#366298,running_list
JN.1.18,#4AF32F,running_list
JN.1.18.6,#D16F2C,running_list
JN.1.32,#2E7919,running_list
JN.1.4.3,#9D1010,running_list
JN.1.7,#CF15E8,running_list
JN.1.8.1,#FFB027,running_list
KP.1.1,#CBFF86,running_list
KP.1.1.3,#1EB3B6,running_list
KP.1.2,#D7B5A6,running_list
KP.2,#5875A1,running_list
KP.2.15,#175DFF,running_list
KP.2.3,#628DE8,running_list
KP.3,#B06589,running_list
KP.3.1.1,#2F92A1,running_list
KP.4.1,#FF473A,running_list
KQ.1,#E86CDE,running_list
KV.2,#E14365,running_list
KW.1.1,#34A0FF,running_list
LB.1,#795653,running_list
LB.1.3.1,#67B4BC,running_list
LF.3.1,#D23F95,running_list
LF.7,#3E8AA1,running_list
LF.7.2.1,#837FFE,running_list
LF.7.7.1,#3A54FF,running_list
LF.7.7.2,#8686FF,running_list
LF.7.9,#604AA1,running_list
LP.1,#9F5495,running_list
LP.8.1,#FF860C,running_list
MC.1,#B6B614,running_list
MC.10.1,#0956D1,running_list
MC.19,#206CC0,running_list
MC.28.1,#277B9F,running_list
NB.1.8.1,#8E1299,running_list
NW.1,#EC4F00,running_list
Other,#FABFD2,running_list
P.1,#FDB462,running_list
P.2,#FFED6F,running_list
PA.1,#4545FF,running_list
PQ.17,#BF2490,tableau_approved
PQ.17.11,#F28E2B,tableau_approved
PQ.2.1.6,#D94ED9,tableau_approved
PQ.2.8.1,#B962D1,tableau_approved
RV.1,#6868DC,tableau_approved
Recombinant,#FF0000,running_list
XBB,#9FA8DA,running_list
XBB.1.16,#4527A0,running_list
XBB.1.16.1,#F89B9B,running_list
XBB.1.16.11,#D37295,running_list
XBB.1.16.15,#E3B5FA,running_list
XBB.1.16.17,#8F8CB0,running_list
XBB.1.16.6,#5AA350,running_list
XBB.1.42.1,#75D1A3,tableau_approved
XBB.1.42.2,#75D1A3,running_list
XBB.1.5,#3F51B5,running_list
XBB.1.5.1,#1A237E,running_list
XBB.1.5.10,#F97A57,running_list
XBB.1.5.59,#FFBE7D,running_list
XBB.1.5.68,#86BCB6,running_list
XBB.1.5.70,#46783C,running_list
XBB.1.5.72,#254220,running_list
XBB.1.5.77,#254220,tableau_approved
XBB.1.9.1,#304FFE,running_list
XBB.1.9.2,#536DFE,running_list
XBB.2.3,#F7BCDF,running_list
XBB.2.3.8,#B9B2E8,running_list
XDP,#B60052,running_list
XDV.1,#D367B6,running_list
XEC,#4CA14C,running_list
XEC.4,#06BC61,running_list
XEK,#B6992D,running_list
XEQ,#7660F1,running_list
XFC,#B66920,running_list
XFG,#4E6EA1,running_list
XFG.1,#5A667F,tableau_approved
XFG.1.1,#B6B600,tableau_approved
XFG.10.4,#6F6536,tableau_approved
XFG.14.1,#6C9BBA,tableau_approved
XFG.2.5.1,#FFAA00,tableau_approved
XFG.23.1.3,#0000FF,tableau_approved
XFG.6,#5555FF,tableau_approved
XFV,#DD6731,tableau_approved
XFY,#8855E1,tableau_approved
XFZ,#9D3B2E,tableau_approved
unreportable,#EEEEEE,running_list
