variant,color
BQ.1,#006064
BQ.1.1,#00838f
BA.5.2.6,#009688
XEC.4,#06bc61
MC.10.1,#0956d1
KP.2.15,#175dff
XBB.1.5.1,#1a237e
KP.1.1.3,#1eb3b6
MC.19,#206cbc
AY.103,#253494
XBB.1.5.72,#254220
XBB.1.5.77,#254220
MC.28.1,#287ba1
BF.11,#29b6f6
AY.3,#2c7fb8
JN.1.32,#2e7919
KP.3.1.1,#2f92a1
XBB.1.9.1,#304ffe
KW.1.1,#34a0ff
JN.1.16.1,#366298
LF.7.7.1,#3a54ff
LF.7,#3e8aa1
XBB.1.5,#3f51b5
AY.44,#41b6c4
XBB.1.16,#4527a0
PA.1,#4545ff
XBB.1.5.70,#46783c
AY.122,#499894
AY.75,#499894
FE.1.1,#499894
XEC,#4ca14c
JN.1.18,#4df230
XFG,#4e6ea1
XBB.1.9.2,#536dfe
XFG.6,#5555ff
KP.2,#5875a1
0.0632283914752389,#59a14f
AY.25,#59a14f
BA.4,#59a14f
AY.4,#59a14f
XBB.1.16.6,#59a14f
XFG.1,#5a667f
JN.1.11.1,#5c9cf1
LF.7.9,#604aa1
KP.2.3,#628de8
JN.1,#660099
JG.3,#66a172
LB.1.3.1,#67b4bc
XFG.14.1,#6c9bba
XBB.1.42.1,#75d1a3
XBB.1.42.2,#75d1a3
XEQ,#7660f1
0.0161860993784887,#76b7b2
B,#76b7b2
BA.5,#76b7b2
B,#76b7b2
LB.1,#795653
AY.118,#79706e
AY.100,#79706e
HV.1,#797765
Other,#797979
Other,#797979
BA.2.12.1,#7cb342
AY.39,#7fcdbb
BA.5,#80cbc4
JD.1.1,#80f192
BF.7,#81d4fa
CH.1.1,#827717
LF.7.2.1,#8480ff
HK.3,#859dbc
LF.7.7.2,#8686ff
AY.3,#86bcb6
XBB.1.5.68,#86bcb6
XFY,#8855e1
FD.2,#8c9eff
AY.26,#8cd17d
FL.1.5.1,#8cd17d
NB.1.8.1,#8e1299
XBB.1.16.17,#8f8cb0
GK.1.1,#90fae5
BA.4 Aggregated,#9c755f
BA.2,#9ccc65
JN.1.4.3,#9d1010
XFZ,#9d3b2e
AY.122,#9d7660
GK.2,#9d8577
BN.1,#9e9d24
XBB,#9fa8da
AY.44,#a0cbe8
BF.7,#a0cbe8
BQ.1.1,#a0cbe8
CH.1.1,#a0cbe8
XBB.1.5,#a0cbe8
NA,#a0cbe8
AY.1,#a13703
LP.1,#a74f9b
KP.3,#b06589
AY.39,#b07aa1
AY.43,#b07aa1
VBM,#b39ddb
B.1.617.2,#b39ddb
XDP,#b60052
XFC,#b66920
AY.103,#b6992d
AY.119,#b6992d
XEK,#b6992d
XFG.1.1,#b6b600
MC.1,#b6b614
KS.1,#b771bc
EG.6.1,#b9aba8
XBB.2.3.8,#b9b2e8
AY.119,#bab0ac
AY.113,#bab0ac
JN.1.16,#bc3a88
PQ.17,#bf2490
BA.2.75.2,#c0ca33
AY.2,#c14f22
AY.25,#c7e9b4
KP.1.1,#cbff86
JN.1.7,#cf15e8
XDV.1,#d367b6
AY.20,#d37295
XBB.1.16.11,#d37295
HF.1,#d399ad
AY.47,#d4a6c8
BA.2.75,#d4e157
LF.3.1,#d73e95
BA.2.86,#d771f1
AY.118,#d7b5a6
KP.1.2,#d7b5a6
S146K_XBB.1.5,#d7b5a6
XFV,#dd6731
KV.2,#e14365
EG.5.1.8,#e14d6f
0.771768606027593,#e15759
AY.100,#e15759
BA.2,#e15759
AY.47,#e15759
JN.1.18.6,#e16b1d
B.1.1.529,#e26028
XBB.1.16.15,#e3b5fa
FD.1.1,#e7cb40
JN.1.13,#e83c78
KQ.1,#e86cde
NW.1,#ec4f00
BA.2.12.1,#edc948
BA.2 Aggregated,#edc948
AY.75,#f1ce63
AY.26,#f1ce63
EU.1.1,#f25353
JN.1.13.1,#f2591c
0.14881690311868,#f28e2b
BA.5 Aggregated,#f28e2b
B.1.617.2,#f28e2b
XBB.2.3,#f7bcdf
XBB.1.16.1,#f89b9b
XBB,#f97a57
XBB.1.5.10,#f97a57
AY.3.1,#fabfd2
AY.117,#fabfd2
GE.1,#fabfd2
Other,#fabfd2
KP.4.1,#ff473a
BA.1.1,#ff824c
LP.8.1,#ff860c
AY.113,#ff9d9a
AY.20,#ff9d9a
JN.1.8.1,#ffb027
BA.4.6,#ffb300
AY.117,#ffbe7d
BQ.1,#ffbe7d
AY.3.1,#ffbe7d
EG.5,#ffbe7d
XBB.1.5.59,#ffbe7d
BA.4,#ffd54f
JF.1,#fff1a9
